"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","REGIME_ORARIO","Full-time/Part-time","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019","2019",2379.704,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q1","Q1-2019",2326.565,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q2","Q2-2019",2396.356,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q4","Q4-2019",2365.117,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q3","Q3-2019",2430.78,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020","2020",2204.144,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q2","Q2-2020",2115.858,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q1","Q1-2020",2243.761,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q3","Q3-2020",2263.002,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q4","Q4-2020",2193.956,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021","2021",2257.093,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022","2022",2374.471,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023","2023",2373.55,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q1","Q1-2021",2102.068,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q2","Q2-2021",2202.703,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q3","Q3-2021",2332.813,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q4","Q4-2021",2390.791,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q1","Q1-2022",2336.856,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q2","Q2-2022",2382.439,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q3","Q3-2022",2422.2,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q4","Q4-2022",2356.389,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q1","Q1-2023",2276.537,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q2","Q2-2023",2345.22,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q3","Q3-2023",2435.57,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q4","Q4-2023",2436.872,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2019","2019",1058.097,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q1","Q1-2019",1040.076,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q2","Q2-2019",1057.825,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q4","Q4-2019",1051.673,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q3","Q3-2019",1082.812,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2020","2020",991.363,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q2","Q2-2020",959.65,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q1","Q1-2020",1001.38,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q3","Q3-2020",1018.77,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q4","Q4-2020",985.651,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2021","2021",1042.831,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2022","2022",1130.04,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023","2023",1151.001,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q1","Q1-2021",954.76,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q2","Q2-2021",1039.107,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q3","Q3-2021",1058.212,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q4","Q4-2021",1119.244,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q1","Q1-2022",1091.786,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q2","Q2-2022",1132.664,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q3","Q3-2022",1144.088,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q4","Q4-2022",1151.622,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q1","Q1-2023",1106.553,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q2","Q2-2023",1125.103,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q3","Q3-2023",1178.215,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q4","Q4-2023",1194.135,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019","2019",252.872,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q1","Q1-2019",254.636,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q2","Q2-2019",257.833,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q4","Q4-2019",258.095,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q3","Q3-2019",240.923,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020","2020",227.362,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q2","Q2-2020",222.291,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q1","Q1-2020",252.382,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q3","Q3-2020",215.9,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q4","Q4-2020",218.874,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021","2021",229.002,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022","2022",243.658,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023","2023",244.396,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q1","Q1-2021",212.271,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q2","Q2-2021",214.513,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q3","Q3-2021",237.863,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q4","Q4-2021",251.361,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q1","Q1-2022",245.437,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q2","Q2-2022",244.606,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q3","Q3-2022",247.95,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q4","Q4-2022",236.638,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q1","Q1-2023",230.763,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q2","Q2-2023",248.436,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q3","Q3-2023",255.417,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q4","Q4-2023",242.967,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019","2019",799.185,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q1","Q1-2019",779.483,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q2","Q2-2019",809.585,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q4","Q4-2019",799.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q3","Q3-2019",807.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020","2020",767.472,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q2","Q2-2020",738.854,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q1","Q1-2020",780.47,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q3","Q3-2020",770.875,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q4","Q4-2020",779.689,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021","2021",792.077,,
