"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","POSIZPROF","Professional status","CARATT_OCC","Temporary employees","TIME","Select time","Value","Flag Codes","Flags"
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019","2019",585.515,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019-Q1","Q1-2019",587.968,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019-Q2","Q2-2019",588.52,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019-Q4","Q4-2019",583.081,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019-Q3","Q3-2019",582.491,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2020","2020",549.596,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2020-Q2","Q2-2020",536.114,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2020-Q1","Q1-2020",560.779,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2020-Q3","Q3-2020",548.444,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2020-Q4","Q4-2020",553.045,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021","2021",560.73,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022","2022",594.236,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023","2023",618.015,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q1","Q1-2021",547.609,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q2","Q2-2021",541.112,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q3","Q3-2021",561.084,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q4","Q4-2021",593.118,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q1","Q1-2022",585.052,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q2","Q2-2022",588.117,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q3","Q3-2022",593.644,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q4","Q4-2022",610.13,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023-Q1","Q1-2023",592.045,,
