"ITTER107","Territory","TIPO_DATO_FOL","Data type","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019","2019",13.867873,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q1","Q1-2019",15.347096,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q2","Q2-2019",14.116389,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q4","Q4-2019",14.105589,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q3","Q3-2019",11.95727,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020","2020",13.240318,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q2","Q2-2020",11.819264,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q1","Q1-2020",13.428272,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q3","Q3-2020",13.74655,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q4","Q4-2020",13.849315,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021","2021",14.537638,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022","2022",11.553399,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023","2023",10.804012,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q1","Q1-2021",17.501476,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q2","Q2-2021",15.163511,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q3","Q3-2021",11.515198,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q4","Q4-2021",13.857075,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q1","Q1-2022",13.868035,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q2","Q2-2022",12.448147,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q3","Q3-2022",9.756741,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q4","Q4-2022",10.160436,,
