"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2019","2019",549,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2020","2020",99,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2021","2021",194,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2022","2022",388,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2023","2023",632,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BD","Bangladesh","ALL1","international protection","2019","2019",2410,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BD","Bangladesh","ALL1","international protection","2020","2020",1143,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BD","Bangladesh","ALL1","international protection","2021","2021",4899,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BD","Bangladesh","ALL1","international protection","2022","2022",9591,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BD","Bangladesh","ALL1","international protection","2023","2023",16323,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2019","2019",68,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2020","2020",67,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2021","2021",85,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2022","2022",91,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2023","2023",110,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2019","2019",128,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2020","2020",65,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2021","2021",58,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2022","2022",64,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2023","2023",89,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2019","2019",433,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2020","2020",184,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2021","2021",1731,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2022","2022",4955,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2023","2023",11289,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2019","2019",419,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2020","2020",125,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2021","2021",365,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2022","2022",462,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2023","2023",502,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AL","Albania","ALL1","international protection","2019","2019",228,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AL","Albania","ALL1","international protection","2020","2020",66,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AL","Albania","ALL1","international protection","2021","2021",133,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AL","Albania","ALL1","international protection","2022","2022",218,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AL","Albania","ALL1","international protection","2023","2023",294,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","BD","Bangladesh","ALL1","international protection","2019","2019",13,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","BD","Bangladesh","ALL1","international protection","2020","2020",9,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","BD","Bangladesh","ALL1","international protection","2021","2021",18,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","BD","Bangladesh","ALL1","international protection","2022","2022",29,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","BD","Bangladesh","ALL1","international protection","2023","2023",58,,
