DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,423489,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,BORN_IT,99,ALL,ALL,ALL,ALL,2012,80136,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,247551,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,46168,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,27428,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,21905,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,80438,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,TIMERES_A,99,ALL,ALL,ALL,ALL,2012,56047,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,TIMERES_B,99,ALL,ALL,ALL,ALL,2012,120263,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,TIMERES_C,99,ALL,ALL,ALL,ALL,2012,167043,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1174755,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,BORN_IT,99,ALL,ALL,ALL,ALL,2012,85226,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,889011,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,61548,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,68785,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,66168,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,89242,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,TIMERES_A,99,ALL,ALL,ALL,ALL,2012,226984,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,TIMERES_B,99,ALL,ALL,ALL,ALL,2012,568121,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,TIMERES_C,99,ALL,ALL,ALL,ALL,2012,294425,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,2861960,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,BORN_IT,99,ALL,ALL,ALL,ALL,2012,482517,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,1817195,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,207207,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,174752,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,169180,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,493626,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,TIMERES_A,99,ALL,ALL,ALL,ALL,2012,430033,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,TIMERES_B,99,ALL,ALL,ALL,ALL,2012,953795,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,TIMERES_C,99,ALL,ALL,ALL,ALL,2012,995614,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,400632,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,BORN_IT,99,ALL,ALL,ALL,ALL,2012,89591,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,235801,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,23992,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,21268,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_2(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,29656,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
