DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,646941,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,109251,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1147494,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,391303,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,290087,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP,9,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,857408,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,56.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,9.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,34.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,25.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,IT,NCOUP_PERCC,9,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,74.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,230227,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,49271,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,426104,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,146606,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100692,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_8(1.0),A,ITC,NCOUP,9,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,325412,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
