DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,CITIZENSHIP,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_CITIZENSHIP,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,999,2023,345,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AFR_C_S,2023,13335,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AFR_E,2023,18634,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AFR_N,2023,402411,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AFR_W,2023,278304,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AME_C_S,2023,145621,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,AME_N,2023,7765,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,ASI_E,2023,229412,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,ASI_W,2023,29247,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,EU28,2023,573420,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,OCE,2023,834,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,WORLD,2023,2517539,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,XASI_C_S,2023,399122,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,1,XEUR_NEU28_OTH,2023,419089,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,999,2023,298,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AFR_C_S,2023,11964,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AFR_E,2023,17199,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AFR_N,2023,286672,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AFR_W,2023,122914,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AME_C_S,2023,224794,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,AME_N,2023,10047,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,ASI_E,2023,260392,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,ASI_W,2023,42514,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,EU28,2023,820362,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,OCE,2023,1157,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,WORLD,2023,2623802,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,XASI_C_S,2023,220549,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,2,XEUR_NEU28_OTH,2023,604940,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,999,2023,643,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AFR_C_S,2023,25299,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AFR_E,2023,35833,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AFR_N,2023,689083,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AFR_W,2023,401218,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AME_C_S,2023,370415,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,AME_N,2023,17812,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,ASI_E,2023,489804,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,ASI_W,2023,71761,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,EU28,2023,1393782,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,OCE,2023,1991,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,WORLD,2023,5141341,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,XASI_C_S,2023,619671,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT,FJAN,9,XEUR_NEU28_OTH,2023,1024029,,,,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,999,2023,5,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AFR_C_S,2023,140,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AFR_E,2023,99,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AFR_N,2023,7230,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AFR_W,2023,3112,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AME_C_S,2023,4955,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,AME_N,2023,72,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,ASI_E,2023,2084,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,ASI_W,2023,210,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,EU28,2023,8505,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,OCE,2023,7,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,WORLD,2023,38009,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,XASI_C_S,2023,5777,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,1,XEUR_NEU28_OTH,2023,5813,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,999,2023,4,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AFR_C_S,2023,138,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AFR_E,2023,158,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AFR_N,2023,5690,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AFR_W,2023,1509,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AME_C_S,2023,6708,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,AME_N,2023,95,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,ASI_E,2023,2508,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,ASI_W,2023,363,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,EU28,2023,10963,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,OCE,2023,12,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,WORLD,2023,41898,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,XASI_C_S,2023,4065,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,2,XEUR_NEU28_OTH,2023,9685,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,999,2023,9,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AFR_C_S,2023,278,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AFR_E,2023,257,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AFR_N,2023,12920,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AFR_W,2023,4621,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AME_C_S,2023,11663,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,AME_N,2023,167,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,ASI_E,2023,4592,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,ASI_W,2023,573,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,EU28,2023,19468,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,OCE,2023,19,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,WORLD,2023,79907,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,XASI_C_S,2023,9842,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT108,FJAN,9,XEUR_NEU28_OTH,2023,15498,,,FILTER__ITC4,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,999,2023,0,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AFR_C_S,2023,30,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AFR_E,2023,62,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AFR_N,2023,1154,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AFR_W,2023,654,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AME_C_S,2023,171,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,AME_N,2023,13,,,FILTER__ITE3,,,,,,
IT1:29_317_DF_DCIS_POPSTRCIT1_24(1.0),A,IT109,FJAN,1,ASI_E,2023,1416,,,FILTER__ITE3,,,,,,
