DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,ACQUISITION_PROCESS,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_ACQUISITION_PROCESS,NOTE_AGE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2014,66125,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2015,89223,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2016,103263,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2017,71984,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2018,51202,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2019,60111,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2020,66600,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2021,59913,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2022,107267,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2023,106449,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2014,63762,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2015,88812,,,,,,,,,,,
