DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,268174,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,142422,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,166992,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,502423,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,598828,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1678839,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,254901,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,264799,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,159679,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,482704,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,798305,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1960388,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,523074,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,407221,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,326671,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,985127,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,1397134,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,3639227,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,16,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
