DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2015,1121535,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2016,1163707,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2017,1116664,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2018,1135142,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2019,1149010,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2020,1129515,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2021,1084273,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2022,1147710,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2023,1099697,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2024,1056712,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2015,53423,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2016,60545,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2017,67938,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2018,75223,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2019,80519,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2020,83869,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2021,87181,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2022,105728,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2023,108781,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_GE60,99,2024,115651,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_UN17,99,2015,338614,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_UN17,99,2016,348488,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_UN17,99,2017,290073,,,,,,,,,,,,,
