DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2015,1121535,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2016,1163707,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2017,1116664,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2018,1135142,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2019,1149010,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2020,1129515,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2021,1084273,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2022,1147710,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2023,1099697,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2024,1056712,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2015,885953,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2016,851740,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2017,794584,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2018,785510,,,,,,,,,,,,,
