DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2015,613250,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2016,646086,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2017,602032,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2018,628164,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2019,638048,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2020,624132,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2021,599922,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2022,626309,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2023,596694,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,1,2024,567211,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2015,505297,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2016,514498,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2017,511478,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2018,503764,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2019,507929,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2020,502376,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2021,481585,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_3(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,TOTAL,2,2022,517814,,,,,,,,,,,,,
