DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,ALL,99,ALL,ALL,ALL,ALL,2012,3301937,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,BORN_IT,99,ALL,ALL,ALL,ALL,2012,551299,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,GEN1,99,ALL,ALL,ALL,ALL,2012,2104804,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,GEN1_25,99,ALL,ALL,ALL,ALL,2012,225127,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,GEN1_50,99,ALL,ALL,ALL,ALL,2012,202898,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,GEN1_75,99,ALL,ALL,ALL,ALL,2012,204344,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,GEN2,99,ALL,ALL,ALL,ALL,2012,564763,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,TIMERES_A,99,ALL,ALL,ALL,ALL,2012,551200,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,TIMERES_B,99,ALL,ALL,ALL,ALL,2012,1233721,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,TIMERES_C,99,ALL,ALL,ALL,ALL,2012,965716,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,ALL,99,ALL,ALL,ALL,ALL,2012,2547554,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,GEN1,99,ALL,ALL,ALL,ALL,2012,1391821,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,GEN1_25,99,ALL,ALL,ALL,ALL,2012,161554,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,GEN1_50,99,ALL,ALL,ALL,ALL,2012,198124,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_6(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,GEN1_75,99,ALL,ALL,ALL,ALL,2012,218571,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
