DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,423489,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1174755,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,EXT_EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,2861960,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,MA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,400632,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,RO,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,854945,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,4036715,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,AL,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,30501,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,90128,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,EXT_EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,218562,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,MA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,24074,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,RO,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,33520,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y_GE55,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,308690,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y0-13,AL,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,93328,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y0-13,EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,162962,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y0-13,EXT_EU27,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,619982,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_1(1.0),A,IT,NFOR,9,Y0-13,MA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,112633,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
