DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,40.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,42.9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,42.6,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,46.2,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,45,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,1,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,41.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,36.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,41.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,37.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,38.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,40.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,2,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,36.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_FF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,38.2,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_FIT,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,42.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,40,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_ITF,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,42.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_NCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,42.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_9(1.0),A,IT,AVE_AGE_COUP,9,TOTAL,WRL_X_ITA,COUP_WCH,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,39.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
