DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,1,2019,60111,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,1,2020,66600,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,1,2021,59913,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,1,2022,107267,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,1,2023,106449,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,2,2019,66890,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,2,2020,65203,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,2,2021,61544,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,2,2022,106449,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,2,2023,107118,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,9,2019,127001,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,9,2020,131803,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,9,2021,121457,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,9,2022,213716,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,ACQCITIZ,9,2023,213567,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FBLOTHR,1,2019,-55424,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FBLOTHR,1,2020,-53697,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FBLOTHR,1,2021,-82872,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FBLOTHR,2,2019,-36509,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FBLOTHR,2,2020,-36567,,,,,,,,
