DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,ACQUISITION_PROCESS,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_ACQUISITION_PROCESS,NOTE_AGE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2014,66125,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2015,89223,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2016,103263,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2017,71984,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2018,51202,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2019,60111,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2020,66600,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2021,59913,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2022,107267,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,ALL,TOTAL,2023,106449,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2014,3033,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2015,2423,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2016,2764,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2017,3212,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2018,3525,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2019,2597,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2020,2125,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2021,2579,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2022,3137,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,MAT,TOTAL,2023,4691,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2014,36152,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2015,50252,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2016,58686,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2017,36605,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2018,22121,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2019,28240,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2020,37536,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2021,28364,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2022,53593,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,RS,TOTAL,2023,47869,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2014,26940,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2015,36548,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2016,41813,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2017,32167,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2018,25556,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2019,29274,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2020,26939,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2021,28970,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2022,50537,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,1,WORLD,TRS,TOTAL,2023,53889,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2014,63762,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2015,88812,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2016,98328,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2017,74621,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2018,61321,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2019,66890,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_3(1.0),A,IT,ACQCITIZ,2,WORLD,ALL,TOTAL,2020,65203,,,,,,,,,,,
