DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,ACQUISITION_PROCESS,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_ACQUISITION_PROCESS,NOTE_AGE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2014,10994,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2015,18243,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2016,19334,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2017,13776,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2018,10532,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2019,12949,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2020,14772,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2021,11480,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2022,19740,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AL,ALL,TOTAL,2023,15945,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AR,ALL,TOTAL,2021,1915,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AR,ALL,TOTAL,2022,5168,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,AR,ALL,TOTAL,2023,8273,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2014,3465,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2015,3735,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2016,5480,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2017,2735,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2020,3530,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2021,3164,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2022,4422,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BD,ALL,TOTAL,2023,5240,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2016,2828,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2017,5018,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2018,5475,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2019,5335,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2020,3475,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2021,2578,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_2(1.0),A,IT,ACQCITIZ,1,BR,ALL,TOTAL,2022,5524,,,,,,,,,,,
