DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2015,1212510,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2016,1232018,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2017,1163608,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2018,1204501,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2019,1209522,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2020,1151661,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2021,1053676,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2022,1142759,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2023,1209414,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,1,2024,1196827,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2015,790086,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2016,778486,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2017,742692,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2018,711136,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2019,708855,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2020,686111,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2021,644289,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2022,669007,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2023,656934,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,2,2024,629488,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2015,4892,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2016,4943,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2017,4948,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2018,5015,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2019,4742,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2020,4558,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2021,4293,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2022,4589,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2023,4639,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,9,2024,4454,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2015,2007488,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2016,2015447,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2017,1911248,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2018,1920652,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2019,1923119,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2020,1842330,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2021,1702258,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2022,1816355,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2023,1870987,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_7(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2024,1830769,,,,,,,,,,,,,
