DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1884413,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,1172757,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,154830,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,129027,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,122590,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,305209,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,2152302,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,1533450,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,113926,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,114510,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
