DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,190854,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,1175818,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,136332,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,1,TOTAL,WRL_X_ITA,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,381409,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,227703,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,1416485,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,152486,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,355629,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,60854,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,280843,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,49366,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_5(1.0),A,IT,NFOR,9,TOTAL,AL,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,32427,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
