STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,MIGRATION_TYPE,Entry category,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2014,,27854,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2015,,27108,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2016,,50458,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2017,,61702,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2018,,64944,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2019,,78815.8,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2020,,53668.96667,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2021,,56649,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2022,,89870,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,DEU,Germany,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2023,,93345,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,NOR,Norway,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2014,,3737,,A,Normal value,0,Units,0,Zero
