STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,MIGRATION_TYPE,Entry category,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2018,,121930,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2019,,99936,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2020,,61685,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2021,,112664,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2022,,123280,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FA,Family,PS,Persons,2023,,127286.9688,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2018,,5032,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2019,,472,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2020,,214,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2021,,602,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2022,,937,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,OT,Other,PS,Persons,2023,,937,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,AC,Accompanying family of workers,PS,Persons,2018,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,AC,Accompanying family of workers,PS,Persons,2019,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,AC,Accompanying family of workers,PS,Persons,2020,,0,,A,Normal value,0,Units,0,Zero
