STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,MIGRATION_TYPE,Entry category,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2014,,84466,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2015,,84112,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2016,,105868,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2017,,134649,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2018,,151809,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2019,,171241,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2020,,50687,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2021,,214897,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2022,,275391,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,CAN,Canada,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2023,,351747,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2014,,22544,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2015,,21362,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2016,,13252,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2017,,17071,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2018,,20679,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2019,,20276,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2020,,8530,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2021,,17548,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2022,,25053,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,STU,International students,PS,Persons,2023,,27578,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2014,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2015,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2016,,9,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2017,,1648,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2018,,1632,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2019,,2234,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_TEMP(1.0),Standardised inflows of temporary migrants,I,AUS,Australia,A,Annual,MIG_FLW,Migration flows by category,TRA,Trainees,PS,Persons,2020,,534,,A,Normal value,0,Units,0,Zero
