"Age","Males","Females","Total"
"0","26632","24851","51483"
"1","27306","25319","52625"
"2","27501","25876","53377"
"3","30261","27731","57992"
"4","31810","29408","61218"
"5","32353","30180","62533"
"6","33901","31308","65209"
"7","33676","30713","64389"
"8","32838","30436","63274"
"9","32941","30451","63392"
"10","31901","29335","61236"
"11","32182","29161","61343"
"12","30325","27368","57693"
"13","29806","26839","56645"
"14","29454","26768","56222"
"15","29138","26118","55256"
"16","28628","25039","53667"
"17","28778","24510","53288"
"18","29316","23854","53170"
"19","28987","21193","50180"
"20","26941","18934","45875"
"21","28979","20798","49777"
"22","32558","23677","56235"
"23","38591","26615","65206"
"24","44340","28768","73108"
"25","49262","31351","80613"
"26","49384","34578","83962"
"27","50319","36690","87009"
"28","50683","39422","90105"
"29","50804","41456","92260"
"30","49994","43065","93059"
"31","52814","45951","98765"
"32","51327","46653","97980"
"33","55670","49765","105435"
"34","55546","52784","108330"
"35","58775","55870","114645"
"36","59225","57181","116406"
"37","59096","57078","116174"
"38","58360","55851","114211"
"39","58150","56110","114260"
"40","56501","54892","111393"
"41","58180","56288","114468"
"42","56045","55011","111056"
"43","57964","55461","113425"
"44","54441","55362","109803"
"45","53457","54130","107587"
"46","50783","52929","103712"
"47","48605","51683","100288"
"48","46842","50580","97422"
"49","43596","49073","92669"
"50","39934","46666","86600"
"51","39276","46357","85633"
"52","35964","44809","80773"
"53","35760","44842","80602"
"54","34069","43978","78047"
"55","33135","44436","77571"
"56","29896","42381","72277"
"57","25329","35198","60527"
"58","23662","33980","57642"
"59","22211","33852","56063"
"60","20222","32740","52962"
"61","19017","31611","50628"
"62","16328","29870","46198"
"63","16067","29435","45502"
"64","13878","26469","40347"
"65","12746","24966","37712"
"66","11242","22589","33831"
"67","10237","20394","30631"
"68","9273","18250","27523"
"69","7957","16169","24126"
"70","6770","13934","20704"
"71","6165","12559","18724"
"72","5244","10620","15864"
"73","5206","10168","15374"
"74","4474","8661","13135"
"75","3926","7458","11384"
"76","3428","6278","9706"
"77","2888","5156","8044"
"78","2439","4180","6619"
"79","2275","3810","6085"
"80","2040","3500","5540"
"81","1986","3458","5444"
"82","1492","2638","4130"
"83","1556","2765","4321"
"84","1150","2098","3248"
"85","1049","1913","2962"
"86","897","1564","2461"
"87","717","1272","1989"
"88","631","971","1602"
"89","462","802","1264"
"90","351","640","991"
"91","303","570","873"
"92","180","343","523"
"93","194","389","583"
"94","89","244","333"
"95","77","171","248"
"96","64","148","212"
"97","47","110","157"
"98","33","76","109"
"99","19","56","75"
"100 and over","94","175","269"
"Total","2627415","2680183","5307598"
