"ITTER107","Territory","TIPO_DATO_CVSTRA","Data type","ETA1","Age","ISO","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","AL","Albania","2012","2012",53637,,
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","EU27","European Union (27 countries)","2012","2012",111700,,
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","EXT_EU27","Extra EU-27","2012","2012",276589,,
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","MA","Morocco","2012","2012",31901,,
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","RO","Romania","2012","2012",97665,,
"IT","Italy","NFOR","foreign citizens","Y18-24","18-24 years","WRL_X_ITA","Foreign countries","2012","2012",388289,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","AL","Albania","2012","2012",105766,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","EU27","European Union (27 countries)","2012","2012",309675,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","EXT_EU27","Extra EU-27","2012","2012",627034,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","MA","Morocco","2012","2012",82969,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","RO","Romania","2012","2012",238556,,
"IT","Italy","NFOR","foreign citizens","Y25-34","25-34 years","WRL_X_ITA","Foreign countries","2012","2012",936709,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","AL","Albania","2012","2012",72671,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","EU27","European Union (27 countries)","2012","2012",307065,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","EXT_EU27","Extra EU-27","2012","2012",607441,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","MA","Morocco","2012","2012",86433,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","RO","Romania","2012","2012",220831,,
"IT","Italy","NFOR","foreign citizens","Y35-44","35-44 years","WRL_X_ITA","Foreign countries","2012","2012",914506,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","AL","Albania","2012","2012",45547,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","EU27","European Union (27 countries)","2012","2012",156524,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","EXT_EU27","Extra EU-27","2012","2012",387919,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","MA","Morocco","2012","2012",48456,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","RO","Romania","2012","2012",98730,,
"IT","Italy","NFOR","foreign citizens","Y45-54","45-54 years","WRL_X_ITA","Foreign countries","2012","2012",544443,,
"IT","Italy","NFOR","foreign citizens","TOTAL","total","AL","Albania","2012","2012",423489,,
