"ITTER107","Territory","TIPO_DATO_CVSTRA","Data type","ISO","Citizenship","PRES_LUOGO","Presence in Italy","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","NFOR","foreign citizens","AL","Albania","BORN_IT","living in Italy from birth","2012","2012",80136,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","GEN2","born in Italy","2012","2012",80438,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","GEN1_75","arrived in Italy aged 0-5","2012","2012",21905,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","GEN1_50","arrived in Italy aged 6-12","2012","2012",27428,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","GEN1_25","arrived in Italy aged 13-17","2012","2012",46168,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","GEN1","arrived in Italy aged over 18","2012","2012",247551,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","TIMERES_A","living in Italy for up to 4 years","2012","2012",56047,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",120263,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","TIMERES_C","living in Italy for 11 years or more","2012","2012",167043,,
"IT","Italy","NFOR","foreign citizens","AL","Albania","ALL","all items","2012","2012",423489,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","BORN_IT","living in Italy from birth","2012","2012",85226,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","GEN2","born in Italy","2012","2012",89242,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","GEN1_75","arrived in Italy aged 0-5","2012","2012",66168,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","GEN1_50","arrived in Italy aged 6-12","2012","2012",68785,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","GEN1_25","arrived in Italy aged 13-17","2012","2012",61548,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","GEN1","arrived in Italy aged over 18","2012","2012",889011,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","TIMERES_A","living in Italy for up to 4 years","2012","2012",226984,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",568121,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","TIMERES_C","living in Italy for 11 years or more","2012","2012",294425,,
"IT","Italy","NFOR","foreign citizens","EU27","European Union (27 countries)","ALL","all items","2012","2012",1174755,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","BORN_IT","living in Italy from birth","2012","2012",482517,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","GEN2","born in Italy","2012","2012",493626,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","GEN1_75","arrived in Italy aged 0-5","2012","2012",169180,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","GEN1_50","arrived in Italy aged 6-12","2012","2012",174752,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","GEN1_25","arrived in Italy aged 13-17","2012","2012",207207,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","GEN1","arrived in Italy aged over 18","2012","2012",1817195,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","TIMERES_A","living in Italy for up to 4 years","2012","2012",430033,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",953795,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","TIMERES_C","living in Italy for 11 years or more","2012","2012",995614,,
"IT","Italy","NFOR","foreign citizens","EXT_EU27","Extra EU-27","ALL","all items","2012","2012",2861960,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","BORN_IT","living in Italy from birth","2012","2012",89591,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","GEN2","born in Italy","2012","2012",89915,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","GEN1_75","arrived in Italy aged 0-5","2012","2012",29656,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","GEN1_50","arrived in Italy aged 6-12","2012","2012",21268,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","GEN1_25","arrived in Italy aged 13-17","2012","2012",23992,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","GEN1","arrived in Italy aged over 18","2012","2012",235801,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","TIMERES_A","living in Italy for up to 4 years","2012","2012",55787,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",119603,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","TIMERES_C","living in Italy for 11 years or more","2012","2012",135651,,
"IT","Italy","NFOR","foreign citizens","MA","Morocco","ALL","all items","2012","2012",400632,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","BORN_IT","living in Italy from birth","2012","2012",73677,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","GEN2","born in Italy","2012","2012",74993,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","GEN1_75","arrived in Italy aged 0-5","2012","2012",44427,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","GEN1_50","arrived in Italy aged 6-12","2012","2012",54911,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","GEN1_25","arrived in Italy aged 13-17","2012","2012",52693,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","GEN1","arrived in Italy aged over 18","2012","2012",627921,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","TIMERES_A","living in Italy for up to 4 years","2012","2012",183679,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",460286,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","TIMERES_C","living in Italy for 11 years or more","2012","2012",137304,,
"IT","Italy","NFOR","foreign citizens","RO","Romania","ALL","all items","2012","2012",854945,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","BORN_IT","living in Italy from birth","2012","2012",567743,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","GEN2","born in Italy","2012","2012",582868,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","GEN1_75","arrived in Italy aged 0-5","2012","2012",235348,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","GEN1_50","arrived in Italy aged 6-12","2012","2012",243537,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","GEN1_25","arrived in Italy aged 13-17","2012","2012",268755,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","GEN1","arrived in Italy aged over 18","2012","2012",2706207,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","TIMERES_A","living in Italy for up to 4 years","2012","2012",657017,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",1521917,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","TIMERES_C","living in Italy for 11 years or more","2012","2012",1290039,,
"IT","Italy","NFOR","foreign citizens","WRL_X_ITA","Foreign countries","ALL","all items","2012","2012",4036715,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","BORN_IT","living in Italy from birth","2012","2012",18.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","GEN2","born in Italy","2012","2012",19,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","GEN1_75","arrived in Italy aged 0-5","2012","2012",5.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","GEN1_50","arrived in Italy aged 6-12","2012","2012",6.5,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","GEN1_25","arrived in Italy aged 13-17","2012","2012",10.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","GEN1","arrived in Italy aged over 18","2012","2012",58.5,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","TIMERES_A","living in Italy for up to 4 years","2012","2012",13.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",28.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","TIMERES_C","living in Italy for 11 years or more","2012","2012",39.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","AL","Albania","ALL","all items","2012","2012",100,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","BORN_IT","living in Italy from birth","2012","2012",7.3,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","GEN2","born in Italy","2012","2012",7.6,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","GEN1_75","arrived in Italy aged 0-5","2012","2012",5.6,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","GEN1_50","arrived in Italy aged 6-12","2012","2012",5.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","GEN1_25","arrived in Italy aged 13-17","2012","2012",5.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","GEN1","arrived in Italy aged over 18","2012","2012",75.7,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","TIMERES_A","living in Italy for up to 4 years","2012","2012",19.3,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",48.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","TIMERES_C","living in Italy for 11 years or more","2012","2012",25.1,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EU27","European Union (27 countries)","ALL","all items","2012","2012",100,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","BORN_IT","living in Italy from birth","2012","2012",16.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","GEN2","born in Italy","2012","2012",17.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","GEN1_75","arrived in Italy aged 0-5","2012","2012",5.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","GEN1_50","arrived in Italy aged 6-12","2012","2012",6.1,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","GEN1_25","arrived in Italy aged 13-17","2012","2012",7.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","GEN1","arrived in Italy aged over 18","2012","2012",63.5,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","TIMERES_A","living in Italy for up to 4 years","2012","2012",15,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",33.3,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","TIMERES_C","living in Italy for 11 years or more","2012","2012",34.8,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","EXT_EU27","Extra EU-27","ALL","all items","2012","2012",100,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","BORN_IT","living in Italy from birth","2012","2012",22.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","GEN2","born in Italy","2012","2012",22.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","GEN1_75","arrived in Italy aged 0-5","2012","2012",7.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","GEN1_50","arrived in Italy aged 6-12","2012","2012",5.3,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","GEN1_25","arrived in Italy aged 13-17","2012","2012",6,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","GEN1","arrived in Italy aged over 18","2012","2012",58.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","TIMERES_A","living in Italy for up to 4 years","2012","2012",13.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",29.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","TIMERES_C","living in Italy for 11 years or more","2012","2012",33.9,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","MA","Morocco","ALL","all items","2012","2012",100,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","BORN_IT","living in Italy from birth","2012","2012",8.6,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","GEN2","born in Italy","2012","2012",8.8,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","GEN1_75","arrived in Italy aged 0-5","2012","2012",5.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","GEN1_50","arrived in Italy aged 6-12","2012","2012",6.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","GEN1_25","arrived in Italy aged 13-17","2012","2012",6.2,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","GEN1","arrived in Italy aged over 18","2012","2012",73.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","TIMERES_A","living in Italy for up to 4 years","2012","2012",21.5,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",53.8,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","TIMERES_C","living in Italy for 11 years or more","2012","2012",16.1,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","RO","Romania","ALL","all items","2012","2012",100,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","BORN_IT","living in Italy from birth","2012","2012",14.1,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","GEN2","born in Italy","2012","2012",14.4,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","GEN1_75","arrived in Italy aged 0-5","2012","2012",5.8,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","GEN1_50","arrived in Italy aged 6-12","2012","2012",6,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","GEN1_25","arrived in Italy aged 13-17","2012","2012",6.7,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","GEN1","arrived in Italy aged over 18","2012","2012",67,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","TIMERES_A","living in Italy for up to 4 years","2012","2012",16.3,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","TIMERES_B","living in Italy from 5 to 10 years","2012","2012",37.7,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","TIMERES_C","living in Italy for 11 years or more","2012","2012",32,,
"IT","Italy","NFOR_PERCP","foreign citizens by presence in Italy (percent)","WRL_X_ITA","Foreign countries","ALL","all items","2012","2012",100,,
