"ITTER107","Territory","TIPO_DATO_CVSTRA","Data type","SEXISTAT1","Gender","PRES_LUOGO","Presence in Italy","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","NFOR","foreign citizens","1","males","GEN2","born in Italy","2012","2012",305209,,
"IT","Italy","NFOR","foreign citizens","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",122590,,
"IT","Italy","NFOR","foreign citizens","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",129027,,
"IT","Italy","NFOR","foreign citizens","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",154830,,
"IT","Italy","NFOR","foreign citizens","1","males","GEN1","arrived in Italy aged over 18","2012","2012",1172757,,
"IT","Italy","NFOR","foreign citizens","1","males","ALL","all items","2012","2012",1884413,,
"IT","Italy","NFOR","foreign citizens","2","females","GEN2","born in Italy","2012","2012",277659,,
"IT","Italy","NFOR","foreign citizens","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",112758,,
"IT","Italy","NFOR","foreign citizens","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",114510,,
"IT","Italy","NFOR","foreign citizens","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",113926,,
"IT","Italy","NFOR","foreign citizens","2","females","GEN1","arrived in Italy aged over 18","2012","2012",1533450,,
"IT","Italy","NFOR","foreign citizens","2","females","ALL","all items","2012","2012",2152302,,
"IT","Italy","NFOR","foreign citizens","9","total","GEN2","born in Italy","2012","2012",582868,,
"IT","Italy","NFOR","foreign citizens","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",235348,,
"IT","Italy","NFOR","foreign citizens","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",243537,,
"IT","Italy","NFOR","foreign citizens","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",268755,,
"IT","Italy","NFOR","foreign citizens","9","total","GEN1","arrived in Italy aged over 18","2012","2012",2706207,,
"IT","Italy","NFOR","foreign citizens","9","total","ALL","all items","2012","2012",4036715,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN2","born in Italy","2012","2012",52.4,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",52.1,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",53,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",57.6,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1","arrived in Italy aged over 18","2012","2012",43.3,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","1","males","ALL","all items","2012","2012",46.7,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN2","born in Italy","2012","2012",47.6,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",47.9,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",47,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",42.4,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1","arrived in Italy aged over 18","2012","2012",56.7,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","2","females","ALL","all items","2012","2012",53.3,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN2","born in Italy","2012","2012",100,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",100,,
