Year,Country_Code,Country_Name,Sex,Value,Permit_Type,Dataset_Code,Dataset
2019,AFG,Afghanistan,Male,1095,,D4,Immigrants - citizenship
2019,AFG,Afghanistan,Female,160,,D4,Immigrants - citizenship
2019,AFG,Afghanistan,Total,1255,,D4,Immigrants - citizenship
2020,AFG,Afghanistan,Male,929,,D4,Immigrants - citizenship
2020,AFG,Afghanistan,Female,129,,D4,Immigrants - citizenship
2020,AFG,Afghanistan,Total,1058,,D4,Immigrants - citizenship
2021,AFG,Afghanistan,Male,2069,,D4,Immigrants - citizenship
2021,AFG,Afghanistan,Female,843,,D4,Immigrants - citizenship
2021,AFG,Afghanistan,Total,2912,,D4,Immigrants - citizenship
2022,AFG,Afghanistan,Male,2576,,D4,Immigrants - citizenship
2022,AFG,Afghanistan,Female,1464,,D4,Immigrants - citizenship
2022,AFG,Afghanistan,Total,4040,,D4,Immigrants - citizenship
2023,AFG,Afghanistan,Male,1685,,D4,Immigrants - citizenship
2023,AFG,Afghanistan,Female,800,,D4,Immigrants - citizenship
2023,AFG,Afghanistan,Total,2485,,D4,Immigrants - citizenship
2019,AFG,Afghanistan,Male,2034,Long-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Male,14076,Short-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Male,16110,Total,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Female,269,Long-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Female,776,Short-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Female,1045,Total,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Total,2303,Long-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Total,14852,Short-term,D5,Type of residence permit and citizenship
2019,AFG,Afghanistan,Total,17155,Total,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Male,2248,Long-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Male,11460,Short-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Male,13708,Total,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Female,306,Long-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Female,867,Short-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Female,1173,Total,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Total,2554,Long-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Total,12327,Short-term,D5,Type of residence permit and citizenship
2020,AFG,Afghanistan,Total,14881,Total,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Male,2599,Long-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Male,9719,Short-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Male,12318,Total,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Female,302,Long-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Female,894,Short-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Female,1196,Total,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Total,2901,Long-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Total,10613,Short-term,D5,Type of residence permit and citizenship
2021,AFG,Afghanistan,Total,13514,Total,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Male,3239,Long-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Male,9760,Short-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Male,12999,Total,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Female,399,Long-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Female,1969,Short-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Female,2368,Total,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Total,3638,Long-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Total,11729,Short-term,D5,Type of residence permit and citizenship
2022,AFG,Afghanistan,Total,15367,Total,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Male,3707,Long-term,D5,Type of residence permit and citizenship
