Year,Country_Code,Country_Name,Sex,Value,Permit_Type,Dataset_Code,Dataset
2019,AF,Afghanistan,Male,1095,,D4,Immigrants - citizenship
2019,AF,Afghanistan,Female,160,,D4,Immigrants - citizenship
2019,AF,Afghanistan,Total,1255,,D4,Immigrants - citizenship
2020,AF,Afghanistan,Male,929,,D4,Immigrants - citizenship
2020,AF,Afghanistan,Female,129,,D4,Immigrants - citizenship
2020,AF,Afghanistan,Total,1058,,D4,Immigrants - citizenship
2021,AF,Afghanistan,Male,2069,,D4,Immigrants - citizenship
2021,AF,Afghanistan,Female,843,,D4,Immigrants - citizenship
2021,AF,Afghanistan,Total,2912,,D4,Immigrants - citizenship
2022,AF,Afghanistan,Male,2576,,D4,Immigrants - citizenship
2022,AF,Afghanistan,Female,1464,,D4,Immigrants - citizenship
2022,AF,Afghanistan,Total,4040,,D4,Immigrants - citizenship
2023,AF,Afghanistan,Male,1685,,D4,Immigrants - citizenship
2023,AF,Afghanistan,Female,800,,D4,Immigrants - citizenship
2023,AF,Afghanistan,Total,2485,,D4,Immigrants - citizenship
2019,AF,Afghanistan,Male,2034,Long-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Male,14076,Short-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Male,16110,Total,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Female,269,Long-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Female,776,Short-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Female,1045,Total,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Total,2303,Long-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Total,14852,Short-term,D5,Type of residence permit and citizenship
2019,AF,Afghanistan,Total,17155,Total,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Male,2248,Long-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Male,11460,Short-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Male,13708,Total,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Female,306,Long-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Female,867,Short-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Female,1173,Total,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Total,2554,Long-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Total,12327,Short-term,D5,Type of residence permit and citizenship
2020,AF,Afghanistan,Total,14881,Total,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Male,2599,Long-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Male,9719,Short-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Male,12318,Total,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Female,302,Long-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Female,894,Short-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Female,1196,Total,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Total,2901,Long-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Total,10613,Short-term,D5,Type of residence permit and citizenship
2021,AF,Afghanistan,Total,13514,Total,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Male,3239,Long-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Male,9760,Short-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Male,12999,Total,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Female,399,Long-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Female,1969,Short-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Female,2368,Total,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Total,3638,Long-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Total,11729,Short-term,D5,Type of residence permit and citizenship
2022,AF,Afghanistan,Total,15367,Total,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Male,3707,Long-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Male,10410,Short-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Male,14117,Total,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Female,426,Long-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Female,2822,Short-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Female,3248,Total,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Total,4133,Long-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Total,13232,Short-term,D5,Type of residence permit and citizenship
2023,AF,Afghanistan,Total,17365,Total,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Male,3970,Long-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Male,10142,Short-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Male,14112,Total,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Female,440,Long-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Female,3178,Short-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Female,3618,Total,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Total,4410,Long-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Total,13320,Short-term,D5,Type of residence permit and citizenship
2024,AF,Afghanistan,Total,17730,Total,D5,Type of residence permit and citizenship
2019,AL,Albania,Male,11097,,D4,Immigrants - citizenship
2019,AL,Albania,Female,11131,,D4,Immigrants - citizenship
2019,AL,Albania,Total,22228,,D4,Immigrants - citizenship
2020,AL,Albania,Male,8480,,D4,Immigrants - citizenship
2020,AL,Albania,Female,8713,,D4,Immigrants - citizenship
2020,AL,Albania,Total,17193,,D4,Immigrants - citizenship
2021,AL,Albania,Male,10862,,D4,Immigrants - citizenship
2021,AL,Albania,Female,11195,,D4,Immigrants - citizenship
2021,AL,Albania,Total,22057,,D4,Immigrants - citizenship
2022,AL,Albania,Male,15191,,D4,Immigrants - citizenship
2022,AL,Albania,Female,13917,,D4,Immigrants - citizenship
2022,AL,Albania,Total,29108,,D4,Immigrants - citizenship
2023,AL,Albania,Male,15783,,D4,Immigrants - citizenship
2023,AL,Albania,Female,14207,,D4,Immigrants - citizenship
2023,AL,Albania,Total,29990,,D4,Immigrants - citizenship
2019,AL,Albania,Male,158109,Long-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Male,60533,Short-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Male,218642,Total,D5,Type of residence permit and citizenship
2019,AL,Albania,Female,144800,Long-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Female,64890,Short-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Female,209690,Total,D5,Type of residence permit and citizenship
2019,AL,Albania,Total,302909,Long-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Total,125423,Short-term,D5,Type of residence permit and citizenship
2019,AL,Albania,Total,428332,Total,D5,Type of residence permit and citizenship
2020,AL,Albania,Male,149073,Long-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Male,62893,Short-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Male,211966,Total,D5,Type of residence permit and citizenship
2020,AL,Albania,Female,137779,Long-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Female,66958,Short-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Female,204737,Total,D5,Type of residence permit and citizenship
2020,AL,Albania,Total,286852,Long-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Total,129851,Short-term,D5,Type of residence permit and citizenship
2020,AL,Albania,Total,416703,Total,D5,Type of residence permit and citizenship
2021,AL,Albania,Male,133674,Long-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Male,59754,Short-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Male,193428,Total,D5,Type of residence permit and citizenship
2021,AL,Albania,Female,122053,Long-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Female,65639,Short-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Female,187692,Total,D5,Type of residence permit and citizenship
2021,AL,Albania,Total,255727,Long-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Total,125393,Short-term,D5,Type of residence permit and citizenship
2021,AL,Albania,Total,381120,Total,D5,Type of residence permit and citizenship
2022,AL,Albania,Male,137831,Long-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Male,63357,Short-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Male,201188,Total,D5,Type of residence permit and citizenship
2022,AL,Albania,Female,132698,Long-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Female,63032,Short-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Female,195730,Total,D5,Type of residence permit and citizenship
2022,AL,Albania,Total,270529,Long-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Total,126389,Short-term,D5,Type of residence permit and citizenship
2022,AL,Albania,Total,396918,Total,D5,Type of residence permit and citizenship
2023,AL,Albania,Male,125127,Long-term,D5,Type of residence permit and citizenship
2023,AL,Albania,Male,72017,Short-term,D5,Type of residence permit and citizenship
2023,AL,Albania,Male,197144,Total,D5,Type of residence permit and citizenship
2023,AL,Albania,Female,122590,Long-term,D5,Type of residence permit and citizenship
2023,AL,Albania,Female,69912,Short-term,D5,Type of residence permit and citizenship
2023,AL,Albania,Female,192502,Total,D5,Type of residence permit and citizenship
